fold,model,OOS start,OOS end,best parameters
3,Choquistic 2-additive [unweighted],2023-01-01,2024-01-01,{}
3,Choquistic model aggregator [balanced],2023-01-01,2024-01-01,"{'capacity': '2-additive', 'class weight': 'balanced', 'base models': ['Rolling prior probability', 'Logistic [balanced]', 'Logistic oriented [balanced]', 'Penalized logistic [balanced]', 'Explicit interactions [balanced]', 'RBF SVM [balanced]', 'Random forest [balanced]', 'Gradient boosting [balanced]', 'MLP [balanced]']}"
3,Choquistic model aggregator [unweighted],2023-01-01,2024-01-01,"{'capacity': '2-additive', 'class weight': 'unweighted', 'base models': ['Rolling prior probability', 'Logistic [unweighted]', 'Logistic oriented [unweighted]', 'Penalized logistic [unweighted]', 'Explicit interactions [unweighted]', 'RBF SVM [unweighted]', 'Random forest [unweighted]', 'Gradient boosting [unweighted]', 'MLP [unweighted]']}"
3,Explicit interactions [balanced],2023-01-01,2024-01-01,{'classifier__logistic__C': 1.0}
3,Explicit interactions [unweighted],2023-01-01,2024-01-01,{'classifier__logistic__C': 1.0}
3,Fuzzy Choquet neural network [balanced],2023-01-01,2024-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (32, 16), 'classifier__mlp_solver': 'adam'}"
3,Fuzzy Choquet neural network [unweighted],2023-01-01,2024-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (32, 16), 'classifier__mlp_solver': 'adam'}"
3,Gradient boosting [balanced],2023-01-01,2024-01-01,"{'classifier__l2_regularization': 1.0, 'classifier__learning_rate': 0.03, 'classifier__max_leaf_nodes': 7}"
3,Gradient boosting [unweighted],2023-01-01,2024-01-01,"{'classifier__l2_regularization': 1.0, 'classifier__learning_rate': 0.03, 'classifier__max_leaf_nodes': 15}"
3,Logistic [balanced],2023-01-01,2024-01-01,{}
3,Logistic [unweighted],2023-01-01,2024-01-01,{}
3,Logistic oriented [balanced],2023-01-01,2024-01-01,{}
3,Logistic oriented [unweighted],2023-01-01,2024-01-01,{}
3,MLP [balanced],2023-01-01,2024-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (8,), 'classifier__learning_rate_init': 0.001, 'classifier__solver': 'adam'}"
3,MLP [unweighted],2023-01-01,2024-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (32,), 'classifier__learning_rate_init': 0.0003, 'classifier__solver': 'lbfgs'}"
3,Penalized logistic [balanced],2023-01-01,2024-01-01,{'classifier__C': 0.1}
3,Penalized logistic [unweighted],2023-01-01,2024-01-01,{'classifier__C': 10.0}
3,RBF SVM [balanced],2023-01-01,2024-01-01,"{'classifier__C': 0.1, 'classifier__gamma': 'scale'}"
3,RBF SVM [unweighted],2023-01-01,2024-01-01,"{'classifier__C': 0.1, 'classifier__gamma': 'scale'}"
3,Random forest [balanced],2023-01-01,2024-01-01,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 20}"
3,Random forest [unweighted],2023-01-01,2024-01-01,"{'classifier__max_depth': 6, 'classifier__min_samples_leaf': 5}"
3,Rolling prior probability,2023-01-01,2024-01-01,{}
4,Choquistic 1-additive [balanced],2024-01-01,2025-01-01,{}
4,Choquistic 1-additive [unweighted],2024-01-01,2025-01-01,{}
4,Choquistic 2-additive [balanced],2024-01-01,2025-01-01,{}
4,Choquistic 2-additive [unweighted],2024-01-01,2025-01-01,{}
4,Choquistic model aggregator [balanced],2024-01-01,2025-01-01,"{'capacity': '2-additive', 'class weight': 'balanced', 'base models': ['Rolling prior probability', 'Logistic [balanced]', 'Logistic oriented [balanced]', 'Penalized logistic [balanced]', 'Explicit interactions [balanced]', 'RBF SVM [balanced]', 'Random forest [balanced]', 'Gradient boosting [balanced]', 'MLP [balanced]']}"
4,Choquistic model aggregator [unweighted],2024-01-01,2025-01-01,"{'capacity': '2-additive', 'class weight': 'unweighted', 'base models': ['Rolling prior probability', 'Logistic [unweighted]', 'Logistic oriented [unweighted]', 'Penalized logistic [unweighted]', 'Explicit interactions [unweighted]', 'RBF SVM [unweighted]', 'Random forest [unweighted]', 'Gradient boosting [unweighted]', 'MLP [unweighted]']}"
4,Explicit interactions [balanced],2024-01-01,2025-01-01,{'classifier__logistic__C': 0.1}
4,Explicit interactions [unweighted],2024-01-01,2025-01-01,{'classifier__logistic__C': 0.1}
4,Fuzzy Choquet neural network [balanced],2024-01-01,2025-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (32,), 'classifier__mlp_solver': 'adam'}"
4,Fuzzy Choquet neural network [unweighted],2024-01-01,2025-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (32,), 'classifier__mlp_solver': 'adam'}"
4,Gradient boosting [balanced],2024-01-01,2025-01-01,"{'classifier__l2_regularization': 1.0, 'classifier__learning_rate': 0.03, 'classifier__max_leaf_nodes': 7}"
4,Gradient boosting [unweighted],2024-01-01,2025-01-01,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.1, 'classifier__max_leaf_nodes': 15}"
4,Logistic [balanced],2024-01-01,2025-01-01,{}
4,Logistic [unweighted],2024-01-01,2025-01-01,{}
4,Logistic oriented [balanced],2024-01-01,2025-01-01,{}
4,Logistic oriented [unweighted],2024-01-01,2025-01-01,{}
4,MLP [balanced],2024-01-01,2025-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (16,), 'classifier__learning_rate_init': 0.0003, 'classifier__solver': 'adam'}"
4,MLP [unweighted],2024-01-01,2025-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (16,), 'classifier__learning_rate_init': 0.001, 'classifier__solver': 'adam'}"
4,Penalized logistic [balanced],2024-01-01,2025-01-01,{'classifier__C': 1.0}
4,Penalized logistic [unweighted],2024-01-01,2025-01-01,{'classifier__C': 10.0}
4,RBF SVM [balanced],2024-01-01,2025-01-01,"{'classifier__C': 10.0, 'classifier__gamma': 'scale'}"
4,RBF SVM [unweighted],2024-01-01,2025-01-01,"{'classifier__C': 10.0, 'classifier__gamma': 'scale'}"
4,Random forest [balanced],2024-01-01,2025-01-01,"{'classifier__max_depth': 6, 'classifier__min_samples_leaf': 20}"
4,Random forest [unweighted],2024-01-01,2025-01-01,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 5}"
4,Rolling prior probability,2024-01-01,2025-01-01,{}
5,Choquistic 1-additive [balanced],2025-01-01,2026-01-01,{}
5,Choquistic 1-additive [unweighted],2025-01-01,2026-01-01,{}
5,Choquistic 2-additive [balanced],2025-01-01,2026-01-01,{}
5,Choquistic 2-additive [unweighted],2025-01-01,2026-01-01,{}
5,Choquistic model aggregator [balanced],2025-01-01,2026-01-01,"{'capacity': '2-additive', 'class weight': 'balanced', 'base models': ['Rolling prior probability', 'Logistic [balanced]', 'Logistic oriented [balanced]', 'Penalized logistic [balanced]', 'Explicit interactions [balanced]', 'RBF SVM [balanced]', 'Random forest [balanced]', 'Gradient boosting [balanced]', 'MLP [balanced]']}"
5,Choquistic model aggregator [unweighted],2025-01-01,2026-01-01,"{'capacity': '2-additive', 'class weight': 'unweighted', 'base models': ['Rolling prior probability', 'Logistic [unweighted]', 'Logistic oriented [unweighted]', 'Penalized logistic [unweighted]', 'Explicit interactions [unweighted]', 'RBF SVM [unweighted]', 'Random forest [unweighted]', 'Gradient boosting [unweighted]', 'MLP [unweighted]']}"
5,Explicit interactions [balanced],2025-01-01,2026-01-01,{'classifier__logistic__C': 1.0}
5,Explicit interactions [unweighted],2025-01-01,2026-01-01,{'classifier__logistic__C': 0.01}
5,Fuzzy Choquet neural network [balanced],2025-01-01,2026-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (32, 16), 'classifier__mlp_solver': 'adam'}"
5,Fuzzy Choquet neural network [unweighted],2025-01-01,2026-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (32,), 'classifier__mlp_solver': 'adam'}"
5,Gradient boosting [balanced],2025-01-01,2026-01-01,"{'classifier__l2_regularization': 1.0, 'classifier__learning_rate': 0.1, 'classifier__max_leaf_nodes': 15}"
5,Gradient boosting [unweighted],2025-01-01,2026-01-01,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_leaf_nodes': 7}"
5,Logistic [balanced],2025-01-01,2026-01-01,{}
5,Logistic [unweighted],2025-01-01,2026-01-01,{}
5,Logistic oriented [balanced],2025-01-01,2026-01-01,{}
5,Logistic oriented [unweighted],2025-01-01,2026-01-01,{}
5,MLP [balanced],2025-01-01,2026-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (8,), 'classifier__learning_rate_init': 0.0003, 'classifier__solver': 'adam'}"
5,MLP [unweighted],2025-01-01,2026-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (16,), 'classifier__learning_rate_init': 0.0003, 'classifier__solver': 'adam'}"
5,Penalized logistic [balanced],2025-01-01,2026-01-01,{'classifier__C': 10.0}
5,Penalized logistic [unweighted],2025-01-01,2026-01-01,{'classifier__C': 10.0}
5,RBF SVM [balanced],2025-01-01,2026-01-01,"{'classifier__C': 10.0, 'classifier__gamma': 'scale'}"
5,RBF SVM [unweighted],2025-01-01,2026-01-01,"{'classifier__C': 1.0, 'classifier__gamma': 'scale'}"
5,Random forest [balanced],2025-01-01,2026-01-01,"{'classifier__max_depth': 6, 'classifier__min_samples_leaf': 20}"
5,Random forest [unweighted],2025-01-01,2026-01-01,"{'classifier__max_depth': 6, 'classifier__min_samples_leaf': 20}"
5,Rolling prior probability,2025-01-01,2026-01-01,{}
6,Choquistic 1-additive [balanced],2026-01-01,2027-01-01,{}
6,Choquistic 1-additive [unweighted],2026-01-01,2027-01-01,{}
6,Choquistic 2-additive [balanced],2026-01-01,2027-01-01,{}
6,Choquistic 2-additive [unweighted],2026-01-01,2027-01-01,{}
6,Choquistic model aggregator [balanced],2026-01-01,2027-01-01,"{'capacity': '2-additive', 'class weight': 'balanced', 'base models': ['Rolling prior probability', 'Logistic [balanced]', 'Logistic oriented [balanced]', 'Penalized logistic [balanced]', 'Explicit interactions [balanced]', 'RBF SVM [balanced]', 'Random forest [balanced]', 'Gradient boosting [balanced]', 'MLP [balanced]']}"
6,Choquistic model aggregator [unweighted],2026-01-01,2027-01-01,"{'capacity': '2-additive', 'class weight': 'unweighted', 'base models': ['Rolling prior probability', 'Logistic [unweighted]', 'Logistic oriented [unweighted]', 'Penalized logistic [unweighted]', 'Explicit interactions [unweighted]', 'RBF SVM [unweighted]', 'Random forest [unweighted]', 'Gradient boosting [unweighted]', 'MLP [unweighted]']}"
6,Explicit interactions [balanced],2026-01-01,2027-01-01,{'classifier__logistic__C': 0.1}
6,Explicit interactions [unweighted],2026-01-01,2027-01-01,{'classifier__logistic__C': 1.0}
6,Fuzzy Choquet neural network [balanced],2026-01-01,2027-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (32, 16), 'classifier__mlp_solver': 'adam'}"
6,Fuzzy Choquet neural network [unweighted],2026-01-01,2027-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (32,), 'classifier__mlp_solver': 'adam'}"
6,Gradient boosting [balanced],2026-01-01,2027-01-01,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_leaf_nodes': 15}"
6,Gradient boosting [unweighted],2026-01-01,2027-01-01,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_leaf_nodes': 15}"
6,Logistic [balanced],2026-01-01,2027-01-01,{}
6,Logistic [unweighted],2026-01-01,2027-01-01,{}
6,Logistic oriented [balanced],2026-01-01,2027-01-01,{}
6,Logistic oriented [unweighted],2026-01-01,2027-01-01,{}
6,MLP [balanced],2026-01-01,2027-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (8,), 'classifier__learning_rate_init': 0.001, 'classifier__solver': 'adam'}"
6,MLP [unweighted],2026-01-01,2027-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (8,), 'classifier__learning_rate_init': 0.0003, 'classifier__solver': 'adam'}"
6,Penalized logistic [balanced],2026-01-01,2027-01-01,{'classifier__C': 0.1}
6,Penalized logistic [unweighted],2026-01-01,2027-01-01,{'classifier__C': 1.0}
6,RBF SVM [balanced],2026-01-01,2027-01-01,"{'classifier__C': 1.0, 'classifier__gamma': 'scale'}"
6,RBF SVM [unweighted],2026-01-01,2027-01-01,"{'classifier__C': 10.0, 'classifier__gamma': 'scale'}"
6,Random forest [balanced],2026-01-01,2027-01-01,"{'classifier__max_depth': 6, 'classifier__min_samples_leaf': 5}"
6,Random forest [unweighted],2026-01-01,2027-01-01,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 5}"
6,Rolling prior probability,2026-01-01,2027-01-01,{}
