fold,model,probability calibration,threshold source,calibration runtime seconds,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,base model,validation PR AUC,selection runtime seconds,refit runtime seconds,parameter count,calibration observations,calibration event prevalence
1,Gradient boosting,uncalibrated,selection validation,0.0,0.92,0.06926406926406926,0.00909090909090909,1.0,0.018018018018018018,0.007961398474125914,0.0452736406189997,0.0017571991960100956,0.007936507936507936,-0.006179308740497841,0.006179308740497841,2.1135727607196648e-05,0.873015873015873,0.007936507936507936,Gradient boosting,0.11834104278542368,0.6359831999998278,0.12004460000002837,,500,0.028
1,Gradient boosting [isotonic],isotonic,calibration,0.019144099999948594,0.7060000000000001,0.013422818791946308,0.013422818791946308,1.0,0.026490066225165563,0.008225985636425067,0.05298904217816429,0.02618388505067788,0.007936507936507936,0.018247377114169943,0.018247377114169943,0.03478260869565217,0.5912698412698413,0.007936507936507936,Gradient boosting,0.11834104278542368,0.6359831999998278,0.12004460000002837,,500,0.028
1,Gradient boosting [sigmoid],sigmoid,calibration,0.02009160000011434,0.07999999999999996,0.006474846992088371,0.008032128514056224,1.0,0.01593625498007968,0.00832952464379926,0.057511170070117294,0.028763571961619067,0.007936507936507936,0.02082706402511113,0.02082706402511113,0.026638528058249285,0.9880952380952381,0.007936507936507936,Gradient boosting,0.11834104278542368,0.6359831999998278,0.12004460000002837,,500,0.028
1,Logistic,uncalibrated,selection validation,0.0,0.56,0.013359085787864156,0.007936507936507936,1.0,0.015748031496062992,0.7608941335402444,2.2099930716551617,0.8726645204428717,0.007936507936507936,0.8647280125063638,0.8647280125063638,7.626816851354316e-98,1.0,0.007936507936507936,Logistic,0.051971336135307605,0.010941400000092472,0.007097700000031182,11.0,500,0.028
1,Logistic [isotonic],isotonic,calibration,0.009118299999954615,0.45199999999999996,0.010101010101010102,0.0,0.0,0.0,0.011322004596359332,0.08482541526389019,0.06038954969317461,0.007936507936507936,0.05245304175666667,0.05245304175666667,0.09090909090909091,0.3055555555555556,0.007936507936507936,Logistic,0.051971336135307605,0.010941400000092472,0.007097700000031182,11.0,500,0.028
1,Logistic [sigmoid],sigmoid,calibration,0.011016199999858145,0.56,0.013359085787864156,0.0,0.0,0.0,0.010475078136899407,0.07667174647798261,0.0519488031194554,0.007936507936507936,0.04401229518294746,0.04401229518294746,0.06011394160548689,0.3055555555555556,0.007936507936507936,Logistic,0.051971336135307605,0.010941400000092472,0.007097700000031182,11.0,500,0.028
1,Logistic oriented,uncalibrated,selection validation,0.0,0.56,0.013359085787864156,0.007936507936507936,1.0,0.015748031496062992,0.7608941335402444,2.2099930716551617,0.8726645204428717,0.007936507936507936,0.8647280125063638,0.8647280125063638,7.626816851354316e-98,1.0,0.007936507936507936,Logistic oriented,0.051971336135307605,0.010565300000052957,0.0075317000000723056,11.0,500,0.028
1,Logistic oriented [isotonic],isotonic,calibration,0.010779599999978018,0.45199999999999996,0.010101010101010102,0.0,0.0,0.0,0.011322004596359332,0.08482541526389019,0.06038954969317461,0.007936507936507936,0.05245304175666667,0.05245304175666667,0.09090909090909091,0.3055555555555556,0.007936507936507936,Logistic oriented,0.051971336135307605,0.010565300000052957,0.0075317000000723056,11.0,500,0.028
1,Logistic oriented [sigmoid],sigmoid,calibration,0.011889800000062678,0.56,0.013359085787864156,0.0,0.0,0.0,0.010475078136899407,0.07667174647798261,0.0519488031194554,0.007936507936507936,0.04401229518294746,0.04401229518294746,0.06011394160548689,0.3055555555555556,0.007936507936507936,Logistic oriented,0.051971336135307605,0.010565300000052957,0.0075317000000723056,11.0,500,0.028
1,Penalized logistic,uncalibrated,selection validation,0.0,0.5880000000000001,0.014035087719298244,0.007936507936507936,1.0,0.015748031496062992,0.4837434607697616,1.2261158394418898,0.6904001980225052,0.007936507936507936,0.6824636900859973,0.6824636900859973,0.004950877404029373,1.0,0.007936507936507936,Penalized logistic,0.12109158841322165,0.03256250000004002,0.007072999999991225,11.0,500,0.028
1,Penalized logistic [isotonic],isotonic,calibration,0.009039100000109102,0.504,0.0095531235750114,0.0,0.0,0.0,0.008320009672340124,0.0524878718427897,0.01648605130624952,0.007936507936507936,0.008549543369741584,0.008549543369741584,0.33333333333333326,0.0,0.007936507936507936,Penalized logistic,0.12109158841322165,0.03256250000004002,0.007072999999991225,11.0,500,0.028
1,Penalized logistic [sigmoid],sigmoid,calibration,0.010218500000064523,0.5880000000000001,0.014035087719298244,0.0,0.0,0.0,0.008453458981693125,0.052767316291524126,0.019461186221415686,0.007936507936507936,0.01152467828490775,0.01152467828490775,0.11724061995621439,0.0,0.007936507936507936,Penalized logistic,0.12109158841322165,0.03256250000004002,0.007072999999991225,11.0,500,0.028
1,Prior probability,uncalibrated,selection validation,0.0,0.5,0.007936507936507936,0.007936507936507936,1.0,0.015748031496062992,0.009011243386243388,0.06744448914839232,0.04166666666666666,0.007936507936507936,0.03373015873015872,0.03373015873015872,0.01,1.0,0.007936507936507936,Prior probability,0.07258064516129033,0.004812099999981001,0.0027666999999382824,,500,0.028
