asset,fold,model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count
JPM,5,Choquet 1-additive scaled-q,rolling_5y,0.0001931760779423323,0.013898779728534887,0.010304048669575063,0.012614103576538804,0.21603888843028218,0.5737648542530711,0.014610769249204762,0.00795759999891743,0.006061100051738322,9
JPM,5,Choquet 2-additive,rolling_5y,7.302269576910004e-05,0.008545331811527276,0.006405762628271219,0.008024337741564691,0.7036540219951531,0.8395644650598791,0.008271290302392483,0.06429349997779354,0.06171320000430569,29
JPM,5,Choquet 2-additive L1,rolling_5y,6.751173279078835e-05,0.008216552366460543,0.006193754817874268,0.007486370220803508,0.7260190099808113,0.8530141548953676,0.008202720974263764,0.26298210001550615,0.1121858999831602,29
JPM,5,Choquet 2-additive scaled-q,rolling_5y,0.00015106542209468178,0.012290867426454561,0.009006659630720072,0.011582007115865354,0.38693539341631455,0.6406341561296536,0.011735120696948582,0.01817349996417761,0.01185740000801161,30
JPM,5,Choquet 2-additive scaled-q L1,rolling_5y,0.00015129920220163082,0.012300374067548955,0.009015598366002233,0.011593703105740313,0.38598665010162014,0.6401154348169568,0.01172643568785822,0.06276279996382073,0.014026999997440726,30
JPM,5,Elastic net,rolling_5y,6.698552929222508e-05,0.00818446878497469,0.006198827270577593,0.0071863535424852455,0.7281544870235156,0.8538031919395364,0.00776960561615235,0.034156200010329485,0.002313300035893917,8
JPM,5,Lasso,rolling_5y,6.694594577679368e-05,0.008182050218422866,0.006195305751021723,0.007183922612478109,0.7283151277047427,0.8538896037470806,0.007771775798846646,0.015028299996629357,0.0024671999854035676,8
JPM,5,Monotone linear,rolling_5y,6.773804709885479e-05,0.008230312697513672,0.006210796474142142,0.007480584568065323,0.7251005649103566,0.8523763939360881,0.008268172197620188,0.007187700015492737,0.003478500002529472,8
JPM,5,OLS,rolling_5y,6.700447704380509e-05,0.008185626246281044,0.006200241458872977,0.007187412675115443,0.7280775918895599,0.8537612486896734,0.007768903356118324,0.004186199977993965,0.002155300055164844,8
JPM,5,OLS oriented,rolling_5y,6.700447704380509e-05,0.008185626246281044,0.006200241458872977,0.007187412675115443,0.7280775918895599,0.8537612486896734,0.007768903356118324,0.005321000004187226,0.003188000002410263,8
