asset,model,fit observations,extreme fit observations removed,extreme fit rate,test observations,stress test observations,full-fit test RMSE,reduced-fit test RMSE,test RMSE change,mean absolute prediction change,maximum absolute prediction change,full-fit stress RMSE,reduced-fit stress RMSE,stress mean absolute prediction change,failure
UNH,Ridge,1509,89,0.058979456593770706,1652,529,0.018510150312164825,0.018712170106054603,0.00020201979388977803,0.0011396469005612976,0.011656359942244846,0.027081697289157103,0.02759805432092018,0.0019372277224570776,
UNH,Lasso,1509,89,0.058979456593770706,1652,529,0.018490587594078723,0.018719512281866024,0.0002289246877873012,0.0011135718204695994,0.011213947397228394,0.027091126827442427,0.027637914335421374,0.0018583217111026327,
UNH,Monotone linear,1509,89,0.058979456593770706,1652,529,0.01860528653965363,0.01885592614555362,0.0002506396058999903,0.0009832041787402929,0.010136620418054736,0.027286827968712114,0.027837085372498065,0.001607018212887542,
UNH,Gradient boosting,1509,89,0.058979456593770706,1652,529,0.019347429394226043,0.019538819276029355,0.00019138988180331107,0.002659805666416556,0.022913539785236102,0.0283519309455612,0.028862558726466953,0.003540757413494888,
UNH,Choquet 1-additive,1509,89,0.058979456593770706,1652,529,0.021313753948660624,0.02121565419901218,-9.809974964844481e-05,0.002150452552554499,0.015106114278356238,0.030698830230706183,0.03057352832458512,0.0033372201014371023,
UNH,Choquet 2-additive,1509,89,0.058979456593770706,1652,529,0.021265025345200757,0.02112657721976316,-0.00013844812543759716,0.0017550162172429529,0.013616777991726184,0.030783549960158422,0.030639563019289783,0.002777327359550462,
UNH,Choquet 2-additive L1,1509,89,0.058979456593770706,1652,529,0.021427667755813676,0.02131438336277317,-0.00011328439304050808,0.0018793734671043042,0.015056905483701408,0.0309735250405136,0.030827703129283828,0.0030164815157804697,
WMT,OLS,1509,91,0.060304837640821736,1652,523,0.012071374993704689,0.012128158407319513,5.678341361482417e-05,0.0009336383903919885,0.010046311927091354,0.016603140989365557,0.01679805509125058,0.0014938740056617999,
WMT,Ridge,1509,91,0.060304837640821736,1652,523,0.01208200269381354,0.012141260843632259,5.925814981871946e-05,0.0009293665934616974,0.01001138046815557,0.016616621668920833,0.01681406382207598,0.001491431807110863,
WMT,Lasso,1509,91,0.060304837640821736,1652,523,0.012018699021645363,0.012276401147297378,0.0002577021256520151,0.0007597200500056153,0.006889957578735815,0.016552672944280106,0.017041203440218238,0.001198720758070572,
WMT,Monotone linear,1509,91,0.060304837640821736,1652,523,0.012071374993704689,0.012038596984754206,-3.2778008950483384e-05,0.0013041137734811016,0.011136233263534516,0.016603140989365557,0.016653383159791504,0.0020143957776879067,
WMT,Gradient boosting,1509,91,0.060304837640821736,1652,523,0.012095838865411367,0.012222744774648,0.00012690590923663224,0.0013318637578969565,0.01385531911742098,0.01662104429015764,0.01698190256575798,0.002007114809854776,
WMT,Choquet 1-additive,1509,91,0.060304837640821736,1652,523,0.018738989968319377,0.015602998915384522,-0.0031359910529348556,0.014591949315993646,0.06838729701923293,0.025004976071652366,0.020409811501471697,0.020034794563505622,
WMT,Choquet 2-additive,1509,91,0.060304837640821736,1652,523,0.018263634867239135,0.016219765131304704,-0.0020438697359344317,0.015196694182312957,0.07546822322620067,0.0243710922616685,0.021564744892593673,0.021320356765060573,
WMT,Choquet 2-additive L1,1509,91,0.060304837640821736,1652,523,0.01863795384385845,0.01583935071940437,-0.002798603124454079,0.015283171397336006,0.0733463175797957,0.024858563389105953,0.02085293781860226,0.021262480444053964,
XOM,OLS,1509,93,0.061630218687872766,1652,545,0.01057389465380877,0.011578952159348007,0.0010050575055392374,0.0009729647180608778,0.009748830508268577,0.015111199154465207,0.016961511714330135,0.0019554983363902186,
XOM,Ridge,1509,93,0.061630218687872766,1652,545,0.010573959377283166,0.011579012878908081,0.0010050535016249158,0.000972953807893704,0.00974878516408163,0.015111287398580404,0.016961592840848104,0.001955480050996703,
XOM,Lasso,1509,93,0.061630218687872766,1652,545,0.010600033394646933,0.011633433645240655,0.0010334002505937214,0.0009624573714711101,0.009738189254286028,0.015238665834082808,0.017119487006173453,0.0018945113785712707,
XOM,Monotone linear,1509,93,0.061630218687872766,1652,545,0.010533364608045891,0.011598522015107806,0.0010651574070619143,0.0008605455986942443,0.008975226384820675,0.015208462184737743,0.01710979408877011,0.0017082383571080518,
XOM,Gradient boosting,1509,93,0.061630218687872766,1652,545,0.010947592352538673,0.012188673621398945,0.0012410812688602724,0.0018863345395140633,0.016169882098300403,0.01581026777028829,0.01811436020423575,0.0029678533722284,
XOM,Choquet 1-additive,1509,93,0.061630218687872766,1652,545,0.011152912925845483,0.011377363390485389,0.00022445046463990571,0.002369653159659169,0.019457214139613245,0.014946978735270011,0.01626455373610624,0.003983594578930123,
XOM,Choquet 2-additive,1509,93,0.061630218687872766,1652,545,0.010897194040638733,0.011385934804430696,0.0004887407637919634,0.002232827773309924,0.018456739255865454,0.014797431155146468,0.016405846624595013,0.003817723537823666,
XOM,Choquet 2-additive L1,1509,93,0.061630218687872766,1652,545,0.010972523018354316,0.011452272350596518,0.0004797493322422023,0.002273540845732304,0.01841035422647508,0.014886159143650022,0.016450308750720163,0.003873099891163662,
