asset,model,feature,training_correlation,absolute_training_correlation,minimum_absolute_correlation,meets_correlation_threshold,subperiod_sign_agreement,sign_stable,stability_required,orientation_supported,orientation_sign,transformation,orientation_training_observations,orientation_source,training_subperiod_1_correlation,training_subperiod_2_correlation,training_subperiod_3_correlation
JPM,Choquet 1-additive,size_spread,-0.13465304120020227,0.13465304120020227,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.05298374435387906,-0.3050970329047123,0.0031223088672678624
JPM,Choquet 1-additive,value_growth_spread,-0.12384161167897305,0.12384161167897305,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.014845132507683639,-0.35983138130643555,0.015370525722899655
JPM,Choquet 1-additive,momentum_spread,0.05415620986699873,0.05415620986699873,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.05535731482223887,0.4353836361159917,-0.31742482256772636
JPM,Choquet 1-additive,quality_spread,0.2380538964271743,0.2380538964271743,0.2,True,1.0,True,False,True,1.0,unchanged (positive training correlation),1257,training only (frozen before validation refit),0.1313792435604873,0.3622556186729776,0.24262588942760235
JPM,Choquet 1-additive,low_volatility_spread,0.6576676086553723,0.6576676086553723,0.2,True,1.0,True,False,True,1.0,unchanged (positive training correlation),1257,training only (frozen before validation refit),0.6149269491775615,0.6986668835933469,0.6467894282030415
KO,OLS oriented,market_excess_return,-0.4920176281305274,0.4920176281305274,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.4874275335331738,-0.5370608888409222,-0.4540830481509893
KO,OLS oriented,sector_excess_return,-0.744335152494627,0.744335152494627,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.6810481289379512,-0.7998949755177183,-0.7619503056472524
KO,OLS oriented,size_spread,0.1543322197820313,0.1543322197820313,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),0.14857208926786003,0.07234049755466224,0.2616163966667608
KO,OLS oriented,value_growth_spread,0.005651912696280587,0.005651912696280587,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),0.024742711335408358,0.005507336927236257,-0.005677869163296427
KO,OLS oriented,momentum_spread,0.02100836537882766,0.02100836537882766,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),0.018229058670803384,-0.006795600318289592,0.0536633683653816
