asset,fold,model,evaluation_structure,OOS start,OOS end,best parameters,fitted q
AMZN,3,Lasso,rolling_5y,2023-01-01,2024-01-01,{'regressor__alpha': 1e-05},
AMZN,3,Monotone linear,rolling_5y,2023-01-01,2024-01-01,{},
AMZN,3,OLS,rolling_5y,2023-01-01,2024-01-01,{},
AMZN,3,OLS oriented,rolling_5y,2023-01-01,2024-01-01,{},
AMZN,3,Ridge,rolling_5y,2023-01-01,2024-01-01,{'regressor__alpha': 0.01},
AMZN,4,Choquet 1-additive,rolling_5y,2024-01-01,2025-01-01,{},
AMZN,4,Choquet 1-additive scaled-q,rolling_5y,2024-01-01,2025-01-01,{},0.388859167772489
AMZN,4,Choquet 2-additive,rolling_5y,2024-01-01,2025-01-01,{},
AMZN,4,Choquet 2-additive L1,rolling_5y,2024-01-01,2025-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.0001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
AMZN,4,Choquet 2-additive scaled-q,rolling_5y,2024-01-01,2025-01-01,{},0.3902189007111855
AMZN,4,Choquet 2-additive scaled-q L1,rolling_5y,2024-01-01,2025-01-01,"{'regressor__penalty': L1Penalty(weight=1e-05, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.3901640719479404
AMZN,4,Elastic net,rolling_5y,2024-01-01,2025-01-01,"{'regressor__alpha': 1e-05, 'regressor__l1_ratio': 0.25}",
AMZN,4,Lasso,rolling_5y,2024-01-01,2025-01-01,{'regressor__alpha': 1e-05},
AMZN,4,Monotone linear,rolling_5y,2024-01-01,2025-01-01,{},
AMZN,4,OLS,rolling_5y,2024-01-01,2025-01-01,{},
AMZN,4,OLS oriented,rolling_5y,2024-01-01,2025-01-01,{},
AMZN,4,Ridge,rolling_5y,2024-01-01,2025-01-01,{'regressor__alpha': 0.01},
AMZN,5,Choquet 1-additive,rolling_5y,2025-01-01,2026-01-01,{},
AMZN,5,Choquet 1-additive scaled-q,rolling_5y,2025-01-01,2026-01-01,{},0.37373257531564175
AMZN,5,Choquet 2-additive,rolling_5y,2025-01-01,2026-01-01,{},
