model,base model,class weight,probability calibration,evaluation_structure,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap
Choquistic model aggregator [unweighted],Choquistic model aggregator,unweighted,uncalibrated,rolling_5y,0.2995194940498618,0.9605331081869327,0.35562019055208793,0.0682095006090134,0.2874106899430745,0.2874106899430745
Gradient boosting [balanced] [sigmoid],Gradient boosting,balanced,sigmoid,rolling_5y,0.0688523770003714,0.2681805146158315,0.07375199678557542,0.0682095006090134,0.005542496176562023,0.005542496176562023
Penalized logistic [balanced],Penalized logistic,balanced,uncalibrated,rolling_5y,0.4747143057837578,2.4083885129781626,0.6289063534934329,0.0682095006090134,0.5606968528844195,0.5606968528844195
Choquistic model aggregator [unweighted] [sigmoid],Choquistic model aggregator,unweighted,sigmoid,rolling_5y,0.0666958869894178,0.27905992517868816,0.0749696991180756,0.0682095006090134,0.006760198509062204,0.006760198509062204
Penalized logistic [unweighted],Penalized logistic,unweighted,uncalibrated,rolling_5y,0.3433415332340556,1.9136689237123128,0.3743223732368784,0.0682095006090134,0.306112872627865,0.306112872627865
Choquistic 1-additive [unweighted] [sigmoid],Choquistic 1-additive,unweighted,sigmoid,rolling_5y,0.06555111983197578,0.25701425139959555,0.07473873484512233,0.0682095006090134,0.006529234236108933,0.006529234236108933
Explicit interactions [unweighted] [sigmoid],Explicit interactions,unweighted,sigmoid,rolling_5y,0.07037655506539561,0.27744487094160164,0.08491214928415644,0.0682095006090134,0.01670264867514304,0.01670264867514304
Rolling prior probability,Rolling prior probability,not applicable,uncalibrated,rolling_5y,0.06459237650647295,0.25771663671201284,0.06724927184421658,0.0682095006090134,-0.0009602287647968166,0.0009602287647968166
RBF SVM [unweighted] [sigmoid],RBF SVM,unweighted,sigmoid,rolling_5y,0.06598165549570072,0.2687213707810068,0.07516294472311161,0.0682095006090134,0.006953444114098206,0.006953444114098206
Logistic oriented [unweighted],Logistic oriented,unweighted,uncalibrated,rolling_5y,0.3780774132592504,2.9961078525692098,0.4318883477203441,0.0682095006090134,0.3636788471113307,0.3636788471113307
Logistic [unweighted],Logistic,unweighted,uncalibrated,rolling_5y,0.3780774132592504,2.9961078525692098,0.4318883477203441,0.0682095006090134,0.3636788471113307,0.3636788471113307
Logistic oriented [balanced],Logistic oriented,balanced,uncalibrated,rolling_5y,0.6086195423623375,4.547228044509088,0.7190846747229417,0.0682095006090134,0.6508751741139283,0.6508751741139283
Logistic [balanced],Logistic,balanced,uncalibrated,rolling_5y,0.6086195423623375,4.547228044509088,0.7190846747229417,0.0682095006090134,0.6508751741139283,0.6508751741139283
Gradient boosting [unweighted] [sigmoid],Gradient boosting,unweighted,sigmoid,rolling_5y,0.07069084296680248,0.2798723414717074,0.07360030017859887,0.0682095006090134,0.005390799569585464,0.005390799569585464
Random forest [balanced] [sigmoid],Random forest,balanced,sigmoid,rolling_5y,0.06850083264943771,0.2952835045872388,0.06545878881870114,0.0682095006090134,-0.002750711790312263,0.002750711790312263
MLP [balanced],MLP,balanced,uncalibrated,rolling_5y,0.433250157661359,5.474660393274256,0.610312371936588,0.0682095006090134,0.5421028713275746,0.5421028713275746
Random forest [unweighted] [sigmoid],Random forest,unweighted,sigmoid,rolling_5y,0.06658103883133933,0.2723053001330187,0.06565181021654921,0.0682095006090134,-0.0025576903924641875,0.0025576903924641875
Fuzzy Choquet neural network [balanced],Fuzzy Choquet neural network,balanced,uncalibrated,rolling_5y,0.06802261809245465,0.26826591524408117,0.08357641132888066,0.0682095006090134,0.01536691071986726,0.01536691071986726
Fuzzy Choquet neural network [unweighted],Fuzzy Choquet neural network,unweighted,uncalibrated,rolling_5y,0.06812546377081537,0.26886319073654313,0.08337478419753636,0.0682095006090134,0.015165283588522954,0.015165283588522954
