asset,model,first,second,interaction,interpretation
AMZN,Choquet 1-additive scaled-q,sector_excess_return,value_growth_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,size_spread,low_volatility_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,size_spread,momentum_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,size_spread,quality_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,size_spread,value_growth_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,value_growth_spread,low_volatility_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,value_growth_spread,momentum_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,value_growth_spread,quality_spread,9.25185853854297e-18,complementary
AMZN,Choquet 2-additive,market_excess_return,low_volatility_spread,-0.03435507438361424,redundant
AMZN,Choquet 2-additive,market_excess_return,momentum_spread,-0.047864232927653926,redundant
AMZN,Choquet 2-additive,market_excess_return,quality_spread,-0.007930109507842774,redundant
AMZN,Choquet 2-additive,market_excess_return,sector_excess_return,0.13843088616512955,complementary
AMZN,Choquet 2-additive,market_excess_return,size_spread,-0.006574170355035231,redundant
AMZN,Choquet 2-additive,market_excess_return,value_growth_spread,0.00782312263367987,complementary
AMZN,Choquet 2-additive,momentum_spread,low_volatility_spread,-0.015215716663657147,redundant
AMZN,Choquet 2-additive,momentum_spread,quality_spread,0.021062469849501955,complementary
AMZN,Choquet 2-additive,quality_spread,low_volatility_spread,0.022294107616983888,complementary
AMZN,Choquet 2-additive,sector_excess_return,low_volatility_spread,0.018033482877520254,complementary
AMZN,Choquet 2-additive,sector_excess_return,momentum_spread,0.0022285186253421336,complementary
AMZN,Choquet 2-additive,sector_excess_return,quality_spread,0.014860506655059896,complementary
AMZN,Choquet 2-additive,sector_excess_return,size_spread,-0.013215536727118928,redundant
AMZN,Choquet 2-additive,sector_excess_return,value_growth_spread,0.015010897984901832,complementary
AMZN,Choquet 2-additive,size_spread,low_volatility_spread,-0.03116466842038685,redundant
AMZN,Choquet 2-additive,size_spread,momentum_spread,0.016093476928659915,complementary
AMZN,Choquet 2-additive,size_spread,quality_spread,-0.008845830069600295,redundant
AMZN,Choquet 2-additive,size_spread,value_growth_spread,0.007095433772847555,complementary
AMZN,Choquet 2-additive,value_growth_spread,low_volatility_spread,-0.011962400859102808,redundant
AMZN,Choquet 2-additive,value_growth_spread,momentum_spread,0.023545561154901543,complementary
AMZN,Choquet 2-additive,value_growth_spread,quality_spread,-0.01996627376479471,redundant
AMZN,Choquet 2-additive L1,market_excess_return,low_volatility_spread,-0.03203499557050396,redundant
AMZN,Choquet 2-additive L1,market_excess_return,momentum_spread,-0.04406965919069024,redundant
AMZN,Choquet 2-additive L1,market_excess_return,quality_spread,0.000999904011360791,complementary
AMZN,Choquet 2-additive L1,market_excess_return,sector_excess_return,0.14228210989256176,complementary
AMZN,Choquet 2-additive L1,market_excess_return,size_spread,6.721122542818343e-05,complementary
AMZN,Choquet 2-additive L1,market_excess_return,value_growth_spread,0.007344676239628893,complementary
AMZN,Choquet 2-additive L1,momentum_spread,low_volatility_spread,-0.007911189302019919,redundant
AMZN,Choquet 2-additive L1,momentum_spread,quality_spread,0.02258769870348275,complementary
AMZN,Choquet 2-additive L1,quality_spread,low_volatility_spread,0.01983498862870566,complementary
AMZN,Choquet 2-additive L1,sector_excess_return,low_volatility_spread,0.012813215950205454,complementary
AMZN,Choquet 2-additive L1,sector_excess_return,momentum_spread,0.0008702070646530004,complementary
AMZN,Choquet 2-additive L1,sector_excess_return,quality_spread,0.006438905554313781,complementary
AMZN,Choquet 2-additive L1,sector_excess_return,size_spread,-0.018516817605238264,redundant
AMZN,Choquet 2-additive L1,sector_excess_return,value_growth_spread,0.015582418829003653,complementary
AMZN,Choquet 2-additive L1,size_spread,low_volatility_spread,-0.03691101738367607,redundant
AMZN,Choquet 2-additive L1,size_spread,momentum_spread,0.02060916540391579,complementary
AMZN,Choquet 2-additive L1,size_spread,quality_spread,4.840727418383985e-05,complementary
AMZN,Choquet 2-additive L1,size_spread,value_growth_spread,0.005942999528435801,complementary
AMZN,Choquet 2-additive L1,value_growth_spread,low_volatility_spread,-0.00796888594383942,redundant
AMZN,Choquet 2-additive L1,value_growth_spread,momentum_spread,0.029249590720984472,complementary
AMZN,Choquet 2-additive L1,value_growth_spread,quality_spread,-0.021309610915866355,redundant
AMZN,Choquet 2-additive scaled-q,market_excess_return,low_volatility_spread,0.011280521849204994,complementary
AMZN,Choquet 2-additive scaled-q,market_excess_return,momentum_spread,-0.0033837300518161388,redundant
AMZN,Choquet 2-additive scaled-q,market_excess_return,quality_spread,0.0002494354306081082,complementary
AMZN,Choquet 2-additive scaled-q,market_excess_return,sector_excess_return,0.025089488165097817,complementary
AMZN,Choquet 2-additive scaled-q,market_excess_return,size_spread,-0.023160974384577107,redundant
AMZN,Choquet 2-additive scaled-q,market_excess_return,value_growth_spread,0.009434510327091368,complementary
AMZN,Choquet 2-additive scaled-q,momentum_spread,low_volatility_spread,-0.001047140908387019,redundant
AMZN,Choquet 2-additive scaled-q,momentum_spread,quality_spread,-0.0051813548798238405,redundant
AMZN,Choquet 2-additive scaled-q,quality_spread,low_volatility_spread,0.0021687754768588154,complementary
AMZN,Choquet 2-additive scaled-q,sector_excess_return,low_volatility_spread,0.015576728638401843,complementary
AMZN,Choquet 2-additive scaled-q,sector_excess_return,momentum_spread,0.0003241404289244451,complementary
AMZN,Choquet 2-additive scaled-q,sector_excess_return,quality_spread,0.005159957861472522,complementary
AMZN,Choquet 2-additive scaled-q,sector_excess_return,size_spread,-0.02036834786815347,redundant
AMZN,Choquet 2-additive scaled-q,sector_excess_return,value_growth_spread,0.010296200354889073,complementary
AMZN,Choquet 2-additive scaled-q,size_spread,low_volatility_spread,-0.021537950049974133,redundant
AMZN,Choquet 2-additive scaled-q,size_spread,momentum_spread,-0.017637294971493987,redundant
AMZN,Choquet 2-additive scaled-q,size_spread,quality_spread,-0.021721076313786183,redundant
AMZN,Choquet 2-additive scaled-q,size_spread,value_growth_spread,-0.01140559715697426,redundant
AMZN,Choquet 2-additive scaled-q,value_growth_spread,low_volatility_spread,0.008537135248081749,complementary
AMZN,Choquet 2-additive scaled-q,value_growth_spread,momentum_spread,0.0036900051335151127,complementary
AMZN,Choquet 2-additive scaled-q,value_growth_spread,quality_spread,0.004088848277433156,complementary
AMZN,Choquet 2-additive scaled-q L1,market_excess_return,low_volatility_spread,-8.835456792125976e-10,redundant
AMZN,Choquet 2-additive scaled-q L1,market_excess_return,momentum_spread,-3.630727965497903e-09,redundant
AMZN,Choquet 2-additive scaled-q L1,market_excess_return,quality_spread,-2.9107941936408937e-09,redundant
