fold,model,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count,best parameters
4,Choquet 2-additive L1,0.0004995296808303843,0.022350160644397713,0.017479817066143134,0.022622663837503755,-0.6682205176300497,-0.06596507420462504,0.03572165383838849,2.915943299999981,1.0267922000000453,56.0,"{'regressor__regressor__penalty': L1Penalty(weight=0.0001, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
4,Elastic net,0.0003524440951027979,0.018773494482988453,0.015048994171414653,0.01721134456160582,-0.17701608799434765,0.1363014283304577,0.02317560701679815,0.04239049999989675,0.0032267999999930908,11.0,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}"
4,Explicit interactions,0.00041552550441581584,0.020384442705549146,0.016409280510049702,0.017016648314036473,-0.3876816506933698,0.07122211817588761,0.021319163526883813,0.024535100000093735,0.004558700000075078,56.0,{'regressor__ridge__alpha': 10.0}
4,Gradient boosting,0.0003274563065358405,0.018095753826128397,0.014131403235396361,0.01669091302544224,-0.09356730971893978,0.09061691757609629,0.026362458010008888,0.7912930999999617,0.06573549999995976,,"{'regressor__l2_regularization': 1.0, 'regressor__learning_rate': 0.03, 'regressor__max_leaf_nodes': 7}"
4,Historical mean,0.000299438638687911,0.01730429538258958,0.01331827072228202,0.017152719421972006,0.0,,0.017328279818093328,0.004270999999903324,0.002875399999993533,,{}
4,Lasso,0.000299438638687911,0.01730429538258958,0.01331827072228202,0.017152719421972006,0.0,,0.017328279818093328,0.023149900000021262,0.0031192000000146436,11.0,{'regressor__alpha': 0.01}
4,MLP,0.002611212742728518,0.0511000268368669,0.04337298386983947,0.04236740670448363,-7.720360051629964,0.08775397460032834,0.05313884620539754,2.2173162000000275,0.41104090000010274,,"{'regressor__alpha': 0.0001, 'regressor__hidden_layer_sizes': (32,)}"
4,Monotone linear,0.00029943863868791084,0.017304295382589575,0.013318270722282016,0.01715271942197201,5.551115123125783e-16,1.2836048052916313e-17,0.01732827981809333,0.0060756999999966865,0.004016099999944345,11.0,{}
4,OLS,0.00041571033932307405,0.020388975926295908,0.016823557960450847,0.0181049182620281,-0.3882989220918376,-0.008245840598700722,0.02993656567089197,0.004815800000073978,0.0037153000000671454,11.0,{}
4,OLS oriented,0.00041571033932307405,0.020388975926295908,0.016823557960450847,0.0181049182620281,-0.3882989220918376,-0.008245840598700722,0.02993656567089197,0.006363200000009783,0.004213800000002266,11.0,{}
4,Random forest,0.00030484890879116464,0.01745992293199385,0.013492733834554002,0.017029006885283603,-0.018068042677994223,0.07954714259315426,0.018681694776244782,1.7266519999999446,0.2263869999999315,,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 5}"
4,Ridge,0.00041175218408085335,0.020291677704932468,0.016725071641768167,0.01805756035596717,-0.3750803366094675,-0.0038855561858297362,0.02922695835472612,0.018167899999980364,0.0034117000000151165,11.0,{'regressor__alpha': 10.0}
5,Choquet 1-additive,0.001042793647258747,0.032292315606948147,0.02099595475370668,0.0266214942236464,-0.9829879471586269,-0.18366813415560385,0.024727596795026056,0.1809549000000743,0.15934280000010403,11.0,{}
5,Choquet 2-additive,0.0010335827351592114,0.03214938156729008,0.02120910535891634,0.02711733161021028,-0.965472374711738,-0.15272939833900948,0.02251907875913596,0.8685566999999992,1.2396754999999757,56.0,{}
5,Choquet 2-additive L1,0.0010322350480655004,0.032128414963478985,0.02118889059177351,0.027073040774719042,-0.9629095980105224,-0.15343537718775216,0.02253079956610602,3.2821694000000434,1.2672089000000142,56.0,"{'regressor__regressor__penalty': L1Penalty(weight=1e-05, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
5,Elastic net,0.0005115823685067385,0.022618186675919413,0.015583130896382894,0.023135292320942243,0.027169302963725772,0.21094859662536936,0.0186763631376545,0.04430119999994986,0.003301900000110436,11.0,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}"
5,Explicit interactions,0.0006138172254213988,0.02477533502137557,0.016896286835616278,0.023586960962369962,-0.16724163305816897,0.2883672530632416,0.02014424164984181,0.022757899999987785,0.004148600000007718,56.0,{'regressor__ridge__alpha': 10.0}
5,Gradient boosting,0.0006032253440925556,0.02456064624745358,0.01721873136710658,0.023687551657511047,-0.1470999942324589,0.006870993503193186,0.018495572000713743,0.7647460000000592,0.07679629999995541,,"{'regressor__l2_regularization': 0.0, 'regressor__learning_rate': 0.03, 'regressor__max_leaf_nodes': 7}"
5,Historical mean,0.000525869886780169,0.0229318531039288,0.015572837915254144,0.023399081332067265,0.0,-1.9436026964028135e-17,0.017459514589397807,0.00413340000000062,0.002791099999967628,,{}
5,Lasso,0.000525869886780169,0.0229318531039288,0.015572837915254144,0.023399081332067265,0.0,-1.9436026964028135e-17,0.017459514589397807,0.01990499999999429,0.003477599999996528,11.0,{'regressor__alpha': 0.01}
5,MLP,0.002096710669083834,0.04578985334202146,0.03482751425295866,0.038328121308477625,-2.987128226568958,0.05911775077231777,0.0376286721036175,2.3411338000000796,0.9050371000000723,,"{'regressor__alpha': 0.001, 'regressor__hidden_layer_sizes': (32, 16)}"
5,Monotone linear,0.000525869886780169,0.0229318531039288,0.015572837915254144,0.023399081332067265,0.0,,0.017459514589397807,0.006373199999984536,0.004107200000021294,11.0,{}
5,OLS,0.0005588240335521133,0.023639459248301627,0.01662653800648969,0.024064330149963113,-0.06266597042420163,0.028648189729682326,0.021213908334511044,0.004678800000078809,0.0048337000000628905,11.0,{}
5,OLS oriented,0.0005588240335521133,0.023639459248301627,0.01662653800648969,0.024064330149963113,-0.06266597042420163,0.028648189729682326,0.021213908334511044,0.006332499999984975,0.005189700000073572,11.0,{}
5,Random forest,0.0005552613581398853,0.023563984343482433,0.015960165679894476,0.023129546869171427,-0.055891147408489994,-0.04456095948982567,0.017593221985306932,1.7627010000001064,0.23748750000004293,,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 5}"
5,Ridge,0.0005510723357914893,0.023474929942206204,0.016467456218086523,0.023912045508202976,-0.04792525612301457,0.03141363626319417,0.020857905198588288,0.019142299999998613,0.0031811999999717955,11.0,{'regressor__alpha': 10.0}
