fold,model,probability calibration,threshold source,calibration runtime seconds,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,base model,class weight,validation PR AUC,selection runtime seconds,refit runtime seconds,parameter count,calibration observations,calibration event prevalence
5,Logistic oriented [unweighted] [sigmoid],sigmoid,calibration,0.030692000000271946,0.12313034188034187,0.03807879148702578,0.06584362139917696,1.0,0.12355212355212356,0.06070451998945911,0.2472456143403154,0.03858171269463751,0.064,-0.02541828730536249,0.02541828730536249,0.0367619765460039,0.972,0.064,Logistic oriented,unweighted,0.12240572036153556,0.018554199999925913,0.014187800003128359,11.0,492,0.036585365853658534
5,MLP,uncalibrated,selection validation,0.0,0.7692307692307693,0.2634071174141782,0.15,0.75,0.25,0.12358410250656308,0.4269640703513084,0.3211546985981125,0.064,0.2571546985981125,0.2571546985981125,0.3478293966268039,0.32,0.064,MLP,not applicable,0.2076051226023602,0.0950020999989647,0.03770470000017667,,492,0.036585365853658534
5,MLP [sigmoid],sigmoid,calibration,0.0183973999992304,0.23076923076923075,0.04137174006745581,0.022727272727272728,0.25,0.041666666666666664,0.0786420960621451,0.31164954205884704,0.11366972189579574,0.064,0.04966972189579574,0.04966972189579574,0.06243104577846033,0.704,0.064,MLP,not applicable,0.2076051226023602,0.0950020999989647,0.03770470000017667,,492,0.036585365853658534
5,Penalized logistic [balanced],uncalibrated,selection validation,0.0,0.8247863247863247,0.1740750540427347,0.064,1.0,0.12030075187969924,0.3494457354003325,0.8975596493542309,0.6054540449714493,0.064,0.5414540449714493,0.5414540449714493,0.3686379318993206,1.0,0.064,Penalized logistic,balanced,0.11992398162587833,0.0439213000026939,0.005987100001220824,11.0,492,0.036585365853658534
5,Penalized logistic [balanced] [sigmoid],sigmoid,calibration,0.01608190000115428,0.1752136752136752,0.039599751323204084,0.0642570281124498,1.0,0.12075471698113208,0.06153024347035,0.253277219904245,0.05893298333414795,0.064,-0.005067016665852055,0.005067016665852055,0.030629374308997873,0.996,0.064,Penalized logistic,balanced,0.11992398162587833,0.0439213000026939,0.005987100001220824,11.0,492,0.036585365853658534
5,Penalized logistic [unweighted],uncalibrated,selection validation,0.0,0.7871260683760684,0.15613078601961825,0.064,1.0,0.12030075187969924,0.06171989862372733,0.24876440946026404,0.1174312592470373,0.064,0.0534312592470373,0.0534312592470373,0.06204675093959963,1.0,0.064,Penalized logistic,unweighted,0.11833539882944018,0.031196399999316782,0.006352899999910733,11.0,492,0.036585365853658534
5,Penalized logistic [unweighted] [sigmoid],sigmoid,calibration,0.01971600000251783,0.21287393162393164,0.040759537938346024,0.04954954954954955,0.6875,0.09243697478991597,0.06094545480981946,0.2493148516792311,0.04845504341785328,0.064,-0.015544956582146718,0.015544956582146718,0.0395272605262949,0.888,0.064,Penalized logistic,unweighted,0.11833539882944018,0.031196399999316782,0.006352899999910733,11.0,492,0.036585365853658534
5,RBF SVM [balanced],uncalibrated,selection validation,0.0,0.8393429487179487,0.24368203075961414,0.064,1.0,0.12030075187969924,0.17635073188716896,0.5340775245479501,0.40499364258756226,0.064,0.34099364258756226,0.34099364258756226,0.0032170445407911303,1.0,0.064,RBF SVM,balanced,0.13522505242726,0.08897789999900851,0.05407009999908041,,492,0.036585365853658534
5,RBF SVM [balanced] [sigmoid],sigmoid,calibration,0.02427019999959157,0.8392094017094017,0.24399775980668648,0.12030075187969924,1.0,0.21476510067114093,0.05866172099046596,0.22389266387760762,0.04136983547412136,0.064,-0.02263016452587864,0.02263016452587864,0.03909308356073261,0.532,0.064,RBF SVM,balanced,0.13522505242726,0.08897789999900851,0.05407009999908041,,492,0.036585365853658534
5,RBF SVM [unweighted],uncalibrated,selection validation,0.0,0.5133547008547008,0.0687040980360007,0.064,1.0,0.12030075187969924,0.17944429619380595,0.6666614715967082,0.29978909792978276,0.064,0.23578909792978275,0.23578909792978275,0.00927225264745368,1.0,0.064,RBF SVM,unweighted,0.10688801296653547,0.0654008999990765,0.026281400001607835,,492,0.036585365853658534
