asset,model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,Correlation,R2
MSFT,Choquet 2-additive scaled-q L1,rolling_5y,0.00011303128725245215,0.010631617339448037,0.008009374808643046,0.009584260932160278,0.7533900935778016,0.5675966331011687
MSFT,Elastic net,rolling_5y,7.649580025346699e-05,0.008746187755443339,0.0060048382562800555,0.007197064129966034,0.8429562233647775,0.7073638424612207
MSFT,Lasso,rolling_5y,7.821530114939304e-05,0.008843941494005546,0.006084557708894063,0.0073404337852239826,0.8402416904353923,0.7007858586581754
MSFT,Monotone linear,rolling_5y,7.428897458839522e-05,0.008619105208105724,0.005933844302762641,0.00695786540990516,0.8460532468803613,0.7158060965568016
MSFT,OLS,rolling_5y,7.349017272008645e-05,0.008572640941978524,0.005873434489149521,0.006890692091623441,0.8478572571445625,0.7188619284927003
MSFT,OLS oriented,rolling_5y,7.349017272008645e-05,0.008572640941978524,0.005873434489149521,0.006890692091623441,0.8478572571445625,0.7188619284927003
MSFT,Ridge,rolling_5y,7.354881824031816e-05,0.00857606076472865,0.005873441633464848,0.006901557262587707,0.8477370451199423,0.7186375789252651
NVDA,Choquet 1-additive,rolling_5y,0.00029827940828122435,0.017270767449109617,0.012426664539292252,0.013591674610364066,0.8494964871142114,0.7196115088775381
NVDA,Choquet 1-additive scaled-q,rolling_5y,0.0003110258715049514,0.017635925592521404,0.012915698119436459,0.013694658129212762,0.84637296741801,0.7076295835711851
NVDA,Choquet 2-additive,rolling_5y,0.0002921650255651505,0.017092835503951662,0.012318810741300697,0.013524559968945053,0.8535088459056667,0.7253591484943125
NVDA,Choquet 2-additive L1,rolling_5y,0.00029234249850145877,0.01709802615805283,0.012321102831111161,0.013524558698320355,0.8533619942637063,0.7251923204550814
NVDA,Choquet 2-additive scaled-q,rolling_5y,0.0003229294557717633,0.017970238055511765,0.01323381184014455,0.013987576692206776,0.8377723348824727,0.6964399810077602
NVDA,Choquet 2-additive scaled-q L1,rolling_5y,0.00032278647750950767,0.017966259418963862,0.01322799664168183,0.01400129213961199,0.83740082223466,0.6965743833771634
NVDA,Elastic net,rolling_5y,0.00027877160052683944,0.016696454729278293,0.01206469205120455,0.013107006248197816,0.8595393834017984,0.7379492305891289
NVDA,Lasso,rolling_5y,0.0002802448532045549,0.016740515320758643,0.012072055022940524,0.013157262331045973,0.8590929523969388,0.7365643441910799
NVDA,Monotone linear,rolling_5y,0.0002794485768780471,0.016716715493123854,0.012166447465092258,0.013062100712228823,0.8586692375693028,0.7373128595478475
NVDA,OLS,rolling_5y,0.0002730015486649275,0.016522758506524494,0.01206298664537936,0.012967627769535936,0.8621909257541981,0.7433731924528807
NVDA,OLS oriented,rolling_5y,0.0002730015486649275,0.016522758506524494,0.01206298664537936,0.012967627769535936,0.8621909257541981,0.7433731924528807
NVDA,Ridge,rolling_5y,0.0002730015492806939,0.016522758525158377,0.01206295689189002,0.01296762056522659,0.8621909254363778,0.7433731918740483
UNH,Choquet 1-additive,rolling_5y,0.00037130728261265976,0.019269335292444827,0.012687063883578998,0.015468550945692185,0.4209576673385222,-0.015487749562593356
UNH,Choquet 1-additive scaled-q,rolling_5y,0.0003524642308262271,0.018774030755973184,0.011648434872866494,0.01625444874364797,0.18985806667953206,0.0360460854832898
UNH,Choquet 2-additive,rolling_5y,0.0003617828698413406,0.019020590680663432,0.012633406426976548,0.015332213376918374,0.4261667106611134,0.01056055313429094
UNH,Choquet 2-additive L1,rolling_5y,0.00036938128198291755,0.01921929452354892,0.012686984312323162,0.015456218810728086,0.414062271560596,-0.010220333229169709
UNH,Choquet 2-additive scaled-q,rolling_5y,0.0003524642308262271,0.018774030755973184,0.011648434872866494,0.01625444874364797,0.18985806667953214,0.0360460854832898
UNH,Choquet 2-additive scaled-q L1,rolling_5y,0.00035246423088050106,0.01877403075741864,0.01164843487424365,0.016254448667681547,0.1898580662886263,0.03604608533485609
UNH,Elastic net,rolling_5y,0.000265604410109501,0.016297374331759734,0.00977628360047318,0.012933049138378455,0.5230668589080267,0.27359888338801674
UNH,Lasso,rolling_5y,0.00026560825943425096,0.016297492427801614,0.009772273161051854,0.012931727936876478,0.5230575224152998,0.2735883558753319
UNH,Monotone linear,rolling_5y,0.0002720993570904481,0.016495434431698007,0.009770524055925729,0.012972458500792917,0.5058021968067556,0.2558358622945397
UNH,OLS,rolling_5y,0.00026560414727302045,0.016297366267990065,0.009777683009243811,0.012933518353350115,0.5230674929864471,0.2735996022191268
UNH,OLS oriented,rolling_5y,0.00026560414727302045,0.016297366267990065,0.009777683009243811,0.012933518353350115,0.5230674929864471,0.2735996022191268
UNH,Ridge,rolling_5y,0.0002656041473266695,0.01629736626963601,0.009777649943991289,0.01293350834309551,0.5230674928860285,0.2735996020724022
WMT,Choquet 1-additive,rolling_5y,0.00012757464913742492,0.011294894826310908,0.007642588617870633,0.009439527679053384,0.5578660904024929,0.26722752093947266
WMT,Choquet 1-additive scaled-q,rolling_5y,0.0001584634196706898,0.012588225437713204,0.008490332999172203,0.011463264565193181,0.29967711116346,0.08980637095527655
WMT,Choquet 2-additive,rolling_5y,0.00012354889574544477,0.011115255091334826,0.007564480478648853,0.009339893598014768,0.5686616481006366,0.29035093388297917
WMT,Choquet 2-additive L1,rolling_5y,0.00012353074745567966,0.01111443869278515,0.00755501896227694,0.009321012669207323,0.5685095942893926,0.2904551753398187
WMT,Choquet 2-additive scaled-q,rolling_5y,0.0001584634196706898,0.012588225437713204,0.008490332999172203,0.011463264565193183,0.29967711116345996,0.08980637095527655
WMT,Choquet 2-additive scaled-q L1,rolling_5y,0.00015846341962701965,0.012588225435978642,0.008490332999055227,0.01146326455535396,0.29967711158196975,0.08980637120611235
WMT,Elastic net,rolling_5y,0.00011288131217845872,0.010624561740535875,0.006930741841233193,0.008995441744128458,0.5934613878629292,0.3516241704454035
WMT,Lasso,rolling_5y,0.00011255669276631275,0.01060927390382173,0.006934268664634617,0.008959885250731877,0.5946355310518583,0.35348874285847853
WMT,Monotone linear,rolling_5y,0.00011309731945960186,0.01063472234990655,0.0069773270426154435,0.009010108294974567,0.5919319658802548,0.3503834522308632
WMT,OLS,rolling_5y,0.00011217367909767597,0.010591207631695073,0.0069658007669617175,0.008950596621841092,0.5963964490314673,0.35568872441734367
WMT,OLS oriented,rolling_5y,0.00011217367909767597,0.010591207631695073,0.0069658007669617175,0.008950596621841092,0.5963964490314673,0.35568872441734367
WMT,Ridge,rolling_5y,0.00011220004937587465,0.010592452472202774,0.006951490341653346,0.008953160165325269,0.5962994177756995,0.3555372569098114
XOM,Choquet 1-additive,rolling_5y,4.080396285352432e-05,0.006387797965928816,0.0046755808650441304,0.00533502607207692,0.9319657903743088,0.8592315724294389
XOM,Choquet 1-additive scaled-q,rolling_5y,0.0002181465572625008,0.01476978528153002,0.011335005197732803,0.014176450722719903,0.49741573601504036,0.24742241443538415
XOM,Choquet 2-additive,rolling_5y,4.243608468498712e-05,0.006514298479881554,0.004724588990540112,0.005460121239302232,0.9300368905943956,0.8536009618771415
XOM,Choquet 2-additive L1,rolling_5y,4.082719217759588e-05,0.006389615964797562,0.004675942635997724,0.005331211535222541,0.9321288843723995,0.8591514342469094
XOM,Choquet 2-additive scaled-q,rolling_5y,7.411413970856972e-05,0.008608956946609138,0.0064234035500092485,0.007593166686167352,0.8645964878743534,0.7443157434249275
XOM,Choquet 2-additive scaled-q L1,rolling_5y,7.404172416445642e-05,0.008604750093085587,0.006420277868871467,0.007610961549967909,0.8646578616616992,0.7445655677450085
XOM,Elastic net,rolling_5y,3.397978784213279e-05,0.005829218458947373,0.004285057371176823,0.00462310708509195,0.939562709353272,0.8827740991508828
XOM,Lasso,rolling_5y,3.396614418007662e-05,0.005828048059176985,0.004285288658326597,0.004619395345278741,0.9395859542273317,0.8828211680314434
XOM,Monotone linear,rolling_5y,3.727676566750063e-05,0.006105470143035721,0.004437896346403989,0.00489260528994508,0.9334880553027856,0.8713999493929764
XOM,OLS,rolling_5y,3.396370235978176e-05,0.0058278385667228086,0.004285875566681284,0.004617602992122845,0.9395901191464444,0.882829591997629
XOM,OLS oriented,rolling_5y,3.396370235978176e-05,0.0058278385667228086,0.004285875566681284,0.004617602992122845,0.9395901191464444,0.882829591997629
XOM,Ridge,rolling_5y,3.4001234347005196e-05,0.0058310577382671485,0.004284616090974473,0.004633864312369787,0.9395591337099154,0.882700111465456
