asset,model,feature,Shapley importance
MSFT,Choquet 2-additive,size_spread,0.07533475881515136
MSFT,Choquet 2-additive,value_growth_spread,0.1496155601941177
MSFT,Choquet 2-additive L1,low_volatility_spread,0.010487541257317342
MSFT,Choquet 2-additive L1,market_excess_return,0.3209430342027247
MSFT,Choquet 2-additive L1,momentum_spread,0.02502166665103264
MSFT,Choquet 2-additive L1,quality_spread,0.0032713277082511605
MSFT,Choquet 2-additive L1,sector_excess_return,0.4160630014644364
MSFT,Choquet 2-additive L1,size_spread,0.030728822621901113
MSFT,Choquet 2-additive L1,value_growth_spread,0.19348460609433651
MSFT,Choquet 2-additive scaled-q,low_volatility_spread,0.14285714285714277
MSFT,Choquet 2-additive scaled-q,market_excess_return,0.14285714285714277
MSFT,Choquet 2-additive scaled-q,momentum_spread,0.14285714285714277
MSFT,Choquet 2-additive scaled-q,quality_spread,0.14285714285714277
MSFT,Choquet 2-additive scaled-q,sector_excess_return,0.14285714285714277
MSFT,Choquet 2-additive scaled-q,size_spread,0.14285714285714277
MSFT,Choquet 2-additive scaled-q,value_growth_spread,0.14285714285714277
MSFT,Choquet 2-additive scaled-q L1,low_volatility_spread,0.14285714285714277
MSFT,Choquet 2-additive scaled-q L1,market_excess_return,0.14285714285714277
MSFT,Choquet 2-additive scaled-q L1,momentum_spread,0.14285714285714277
MSFT,Choquet 2-additive scaled-q L1,quality_spread,0.14285714285714277
MSFT,Choquet 2-additive scaled-q L1,sector_excess_return,0.14285714285714277
MSFT,Choquet 2-additive scaled-q L1,size_spread,0.14285714285714277
MSFT,Choquet 2-additive scaled-q L1,value_growth_spread,0.14285714285714277
NVDA,Choquet 1-additive,low_volatility_spread,0.21727805319704585
NVDA,Choquet 1-additive,market_excess_return,0.19690213719616187
NVDA,Choquet 1-additive,momentum_spread,-1.888576927119988e-18
NVDA,Choquet 1-additive,quality_spread,0.09925258560247982
NVDA,Choquet 1-additive,sector_excess_return,0.2394834613599195
NVDA,Choquet 1-additive,size_spread,-1.2741956960448691e-18
NVDA,Choquet 1-additive,value_growth_spread,0.24708376264439286
NVDA,Choquet 1-additive scaled-q,low_volatility_spread,0.20573093908522513
NVDA,Choquet 1-additive scaled-q,market_excess_return,0.19077636100765755
NVDA,Choquet 1-additive scaled-q,momentum_spread,0.030511584199790224
NVDA,Choquet 1-additive scaled-q,quality_spread,0.12471554029886135
NVDA,Choquet 1-additive scaled-q,sector_excess_return,0.2096277881032293
NVDA,Choquet 1-additive scaled-q,size_spread,0.033549988981447246
NVDA,Choquet 1-additive scaled-q,value_growth_spread,0.2050877983237889
