asset,model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count,OOS folds
MSFT,Choquet 1-additive,rolling_5y,0.00013028481623941123,0.01141423743573837,0.0074693682448490045,0.008745444391158205,0.6449630408696886,0.8097962960333822,0.008840504777615351,0.11177160002989694,0.09784649993525818,8,7
MSFT,Choquet 1-additive scaled-q,rolling_5y,0.0002124512931166313,0.01457570900905446,0.010435421282437565,0.01205041569623984,0.42105255816744813,0.6719574938988024,0.012227475657664641,0.05424419994233176,0.0382485999725759,9,7
MSFT,Choquet 2-additive,rolling_5y,0.00012985390623578865,0.011395345814664365,0.007450723725976968,0.008678651074719787,0.6461373064653345,0.8110492111972915,0.00878645956672309,0.2881984999985434,0.22749620000831783,29,7
MSFT,Choquet 2-additive L1,rolling_5y,0.00013117167807766728,0.011453020478357109,0.007486934482596773,0.008703032258076254,0.6425462686063379,0.8093467451672043,0.008720939868016675,1.1937348000355996,0.3390363000216894,29,7
MSFT,Choquet 2-additive scaled-q,rolling_5y,0.00021245129311663137,0.014575709009054461,0.010435421282437565,0.012050415696239844,0.421052558167448,0.6719574938988025,0.012013922012812346,0.07295719999819994,0.04630749998614192,30,7
MSFT,Choquet 2-additive scaled-q L1,rolling_5y,0.00021245129262731813,0.014575708992269232,0.010435421258268941,0.012050415634473784,0.4210525595008673,0.6719574943730819,0.012016040975132269,0.2829916000482626,0.05169920017942786,30,7
MSFT,Elastic net,rolling_5y,0.0001149414596600824,0.010721075489897569,0.007074641585573072,0.008043852860719035,0.6867749635481282,0.8368817974405344,0.008240174247812317,0.2453067998867482,0.01710679999087006,8,7
MSFT,Lasso,rolling_5y,0.00011585361018745145,0.010763531492379788,0.007030993407154253,0.00800123603123227,0.6842892775038609,0.8315015798094634,0.008151834041500316,0.1071322999196127,0.017237899883184582,8,7
MSFT,Monotone linear,rolling_5y,0.00012413066111059608,0.011141394038027561,0.007206824411010763,0.00831688782178835,0.6617336253937951,0.8197597908515145,0.008860712483447131,0.03616110002622008,0.021907099930103868,8,7
MSFT,OLS,rolling_5y,0.00011113933449576718,0.01054226420157298,0.006978696609982519,0.007932100264066768,0.697136070817073,0.8452012404731055,0.00843263432677673,0.02580940001644194,0.015612799965310842,8,7
MSFT,OLS oriented,rolling_5y,0.00011113933449576718,0.01054226420157298,0.006978696609982519,0.007932100264066768,0.697136070817073,0.8452012404731055,0.00843263432677673,0.03617159998975694,0.019976000068709254,8,7
MSFT,Ridge,rolling_5y,0.00011084428239779076,0.010528261128875498,0.006969079639254367,0.007920204798491615,0.6979401123214803,0.8452288971094953,0.008308441900348748,0.10512559994822368,0.01598179992288351,8,7
NVDA,Choquet 1-additive,rolling_5y,0.0004588520184576438,0.021420831413781396,0.015377495214456019,0.01685319450274806,0.5690555068725396,0.7809966996597647,0.020968819954578864,0.10685800010105595,0.09281960013322532,8,7
NVDA,Choquet 1-additive scaled-q,rolling_5y,0.00045251056842215,0.021272295795756273,0.015580965164516037,0.017150601374106185,0.575011267905094,0.7688088114722232,0.020880981302785383,0.06832760007819161,0.055286900023929775,9,7
NVDA,Choquet 2-additive,rolling_5y,0.0004693978437931134,0.02166559124033114,0.015399344478074463,0.016783711734129597,0.5591510819795625,0.775289117442588,0.02112200990801753,0.2816276000230573,0.2699704999686219,29,7
NVDA,Choquet 2-additive L1,rolling_5y,0.00046554676412977644,0.021576532717973395,0.015441191180226983,0.01681564920687662,0.5627679377560473,0.780931328371684,0.020837711272831738,1.1716035000281408,0.34627329994691536,29,7
NVDA,Choquet 2-additive scaled-q,rolling_5y,0.00043416700565850004,0.020836674534543655,0.015065045197939558,0.016871755919551697,0.5922391693620921,0.7714963988565764,0.02042617066579655,0.11155570001574233,0.0989515000837855,30,7
NVDA,Choquet 2-additive scaled-q L1,rolling_5y,0.00041910773355191897,0.02047212088553404,0.014706119130501313,0.016484108359996148,0.6063825317617022,0.7789750776869047,0.02007991375594995,0.440539300092496,0.1454284999636002,30,7
NVDA,Elastic net,rolling_5y,0.00032960580264697277,0.01815504895743806,0.013292108724432372,0.014207766531129257,0.6904409268351488,0.832499919980205,0.01733387936327092,0.24245390010764822,0.016523999976925552,8,7
NVDA,Lasso,rolling_5y,0.0003280703648889917,0.018112712797617912,0.013264246705160859,0.014232000397356604,0.6918829787815826,0.8328499837713093,0.017272902285508245,0.10598580003716052,0.016662699985317886,8,7
