asset,sample,feature,clipping enabled,raw minimum,lower clipping bound,raw maximum,upper clipping bound,below-bound observations,above-bound observations,clipped observations,clipped rate
UNH,test,quality_spread,False,-0.016625120716701858,-inf,0.014470133348779335,inf,0,0,0,0.0
UNH,test,low_volatility_spread,False,-0.049189834087693285,-inf,0.03873740109844359,inf,0,0,0,0.0
WMT,estimation,market_excess_return,False,-0.060492939552958716,-inf,0.09969374076671228,inf,0,0,0,0.0
WMT,estimation,sector_excess_return,False,-0.06655272935861496,-inf,0.03786749270442519,inf,0,0,0,0.0
WMT,estimation,size_spread,False,-0.029046510168316608,-inf,0.04397288941072741,inf,0,0,0,0.0
WMT,estimation,value_growth_spread,False,-0.034832941481606206,-inf,0.04660513932346255,inf,0,0,0,0.0
WMT,estimation,momentum_spread,False,-0.03373271372991482,-inf,0.03464711362990425,inf,0,0,0,0.0
WMT,estimation,quality_spread,False,-0.016625120716701858,-inf,0.014470133348779335,inf,0,0,0,0.0
WMT,estimation,low_volatility_spread,False,-0.049189834087693285,-inf,0.03873740109844359,inf,0,0,0,0.0
WMT,test,market_excess_return,False,-0.11589615746190164,-inf,0.09969374076671228,inf,0,0,0,0.0
WMT,test,sector_excess_return,False,-0.09868106910667847,-inf,0.08166731999582968,inf,0,0,0,0.0
WMT,test,size_spread,False,-0.029405444657308877,-inf,0.04397288941072741,inf,0,0,0,0.0
WMT,test,value_growth_spread,False,-0.034832941481606206,-inf,0.046914851288716086,inf,0,0,0,0.0
WMT,test,momentum_spread,False,-0.042562810079078695,-inf,0.0372115581480017,inf,0,0,0,0.0
WMT,test,quality_spread,False,-0.016625120716701858,-inf,0.014470133348779335,inf,0,0,0,0.0
WMT,test,low_volatility_spread,False,-0.049189834087693285,-inf,0.03873740109844359,inf,0,0,0,0.0
XOM,estimation,market_excess_return,False,-0.060492939552958716,-inf,0.09969374076671228,inf,0,0,0,0.0
XOM,estimation,sector_excess_return,False,-0.09667595552944848,-inf,0.07442457594864221,inf,0,0,0,0.0
XOM,estimation,size_spread,False,-0.029046510168316608,-inf,0.04397288941072741,inf,0,0,0,0.0
XOM,estimation,value_growth_spread,False,-0.034832941481606206,-inf,0.04660513932346255,inf,0,0,0,0.0
XOM,estimation,momentum_spread,False,-0.03373271372991482,-inf,0.03464711362990425,inf,0,0,0,0.0
XOM,estimation,quality_spread,False,-0.016625120716701858,-inf,0.014470133348779335,inf,0,0,0,0.0
XOM,estimation,low_volatility_spread,False,-0.049189834087693285,-inf,0.03873740109844359,inf,0,0,0,0.0
XOM,test,market_excess_return,False,-0.11589615746190164,-inf,0.09969374076671228,inf,0,0,0,0.0
XOM,test,sector_excess_return,False,-0.22491982361219104,-inf,0.1487406313742311,inf,0,0,0,0.0
XOM,test,size_spread,False,-0.029405444657308877,-inf,0.04397288941072741,inf,0,0,0,0.0
XOM,test,value_growth_spread,False,-0.034832941481606206,-inf,0.046914851288716086,inf,0,0,0,0.0
XOM,test,momentum_spread,False,-0.042562810079078695,-inf,0.0372115581480017,inf,0,0,0,0.0
XOM,test,quality_spread,False,-0.016625120716701858,-inf,0.014470133348779335,inf,0,0,0,0.0
XOM,test,low_volatility_spread,False,-0.049189834087693285,-inf,0.03873740109844359,inf,0,0,0,0.0
